times,nn_ft,nf_ft,nn_st,nf_st
1.85,0.39714349714196834,0.0374688303296378,0.0001933445022349019,1.4661701699707554
1.86,0.4491887539050431,0.03675839900473439,0.00019940422534313736,1.4385723855481487
1.87,0.5031758345680772,0.04094288072025593,0.0002056163222634785,1.4154419317542897
1.88,0.5583898018876926,0.05065456861612117,0.00021204527509587968,1.3949792220000046
1.89,0.6140260771616807,0.06598087125740021,0.0002185732224285154,1.3764414633885693
1.9,0.6692077372372124,0.08681864274505909,0.00022526217330311367,1.359889842514577
1.91,0.7227499709832084,0.11265477107112193,0.0005353117333445422,1.3454022565280443
1.92,0.7741061800061116,0.14278422207545335,0.0004926063097685401,1.3329829805460796
1.93,0.8222719047997419,0.17589478391710006,0.0005076319432737659,1.3228379155840793
1.94,0.8662194400817693,0.21082661296741786,0.0005230291671963546,1.3200153535220165
1.95,0.9050751118817366,0.24630881608754857,0.0005387421662650251,1.3194377667388608
1.96,0.9380464717026975,0.28089235675301066,0.0005549006860276491,1.318134873170872
1.97,0.9644472557406427,0.3135823244681255,0.0005714516961502068,1.315491493227725
1.98,0.9837191327001075,0.3430678347812065,0.0005884023659150663,1.3178256061713627
1.99,0.9956948405278427,0.3687175991711852,0.0003550624054752563,1.3187771549330982
2.0,0.9996391188001462,0.3900416077418921,0.0003651641054069333,1.3145266820582175
